source_page,source_table,Item Name,Count,Amount
4,1,Strawberry Sunrise（24oz),20.00,85.02
4,1,Brown Sugar Rice Cake (5),14.00,75.69
4,1,Crispy French Fries,22.00,85.08
4,1,Lemonade,27.00,76.64
4,1,Chili Pepper Fried Chicken（8）,7.00,69.43
4,1,Tangy Honey Mustard Fried Chicken (8),8.00,77.46
4,1,Vegetable Tossed Ramen,5.00,67.24
4,1,Sweet Sesame Ball (6) w. red bean,15.00,71.72
4,1,Golden kiwi (24oz),17.00,76.02
4,1,Wasabi Spiced Fried Chicken(8),5.00,59.95
4,1,Wasabi Spiced Fried Chicken (8),6.00,59.94
4,1,Mango Milk Tea (24oz),13.00,59.73
4,1,Brown Sugar Milk Tea NO BOBA (24oz),15.00,56.89
4,1,Thai Milk Tea NO BOBA (24oz),17.00,67.67
4,1,Strawberry Milk Tea  (24oz),15.00,67.07
4,1,House Tossed Ramen,4.00,65.88
4,1,Orange Crush,15.00,45.72
4,1,Hot Tea,18.00,52.81
4,1,Golden kiwi,12.00,42.72
4,1,Tangy Honey Mustard Fried Chicken(8),3.00,35.97
4,1,Plain Fried Rice,10.00,38.87
5,1,Pepsi zero,11.00,32.51
5,1,Chunked Beef,7.00,27.87
5,1,Crispy French Fries(LG),6.00,26.34
5,1,Bottled Soda,17.00,30.15
5,1,Rice Noodle,12.00,18.35
5,1,Pork Bun (1),9.00,19.91
5,1,Ramen,13.00,19.33
5,1,Braised Egg （2 half）,9.00,17.66
5,1,House Tossed Rice Noodle,1.00,15.68
5,1,White Rice-To Go,4.00,14.00
5,1,White Rice - DINE IN,16.00,15.80
5,1,Chili Pepper Fried Chicken (8),1.00,11.99
5,1,Shrimp (8),5.00,14.88
5,1,Bottled Water,7.00,13.70
5,1,Chicken Tender combo w fries and drink,1.00,10.50
5,1,Braised Pork,3.00,8.62
5,1,Milkis,2.00,7.18
5,1,Unsweet Tea,2.00,7.18
5,1,White Rice,3.00,11.20
5,1,Gift Card,1.00,5.99
5,1,Open Food,3.00,5.75
5,1,Ramune - Melon,1.00,3.59
6,1,Starry,1.00,3.59
6,1,Ramune - Strawberry,1.00,3.59
6,1,Coconut Milk,1.00,3.59
6,1,Ramune - Grape,1.00,3.59
6,1,Braised Chicken,2.00,6.58
6,1,Mai‘s special Sauce,2.00,2.40
6,1,Braised Egg,2.00,4.78
6,1,Braised Egg （2）,1.00,1.89
6,1,Mai‘s Special Sauce,2.00,1.98
6,1,Chunked Pork - 5 days exp,2.00,0.00
6,1,Water,"1,149.00",0.00
6,1,Chinese Bockchoy- 5 days exp,4.00,0.00
6,1,Braised Chicken - 5 days exp,1.00,0.00
6,1,Sliced Fruit  - 5 day expiration,26.00,0.00
6,1,Brew Tea - 5 days exp,7.00,0.00
6,1,Ramune - Orange,1.00,3.59
