source_page,source_table,Item Name,Count,Amount
6,1,Strawberry Milk Tea  (24oz),1.00,5.50
6,1,Tropical Jas-Lemonade,2.00,3.80
6,1,Coconut Milk,1.00,3.66
6,1,Ramune - Original,1.00,3.59
6,1,Brown Sugar Milk Tea w. Boba (24oz),1.00,2.37
6,1,Pork Bun (1),1.00,2.25
6,1,Open Food,1.00,1.50
6,1,Popping boba -,1.00,1.00
6,1,Mai‘s special Sauce,1.00,1.00
6,1,Popping boba - -1,1.00,0.00
6,1,Sliced Fruit  - 5 day expiration,17.00,0.00
6,1,Brew Tea - 5 days exp,5.00,0.00
6,1,Braised Chicken - 5 days exp,4.00,0.00
6,1,Chunked Pork - 5 days exp,2.00,0.00
6,1,Chunked Beef - 5 days exp,8.00,0.00
6,1,Water,"2,140.00",0.00
6,1,Braised Egg,2.00,3.89
